都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
千葉県,千葉市花見川区,花見川団地商店街,現存する団地商店街,"1968年に整備された約5700戸の花見川団地の中心商業区画。2024年にアーケード撤去と改修が行われ、空き店舗を活用した交流拠点や新規出店が続く。",,,団地の商店街暮らし・活動記録,https://house.muji.com/ur-hanamigawa/category/street/,,,,
千葉県,八千代市,村上団地商店街（むらかみモール）,現存する団地商店街,村上団地中央の商業区画。市役所支所、郵便局、医療機関、食品店などが残り、多文化交流とサービス店舗への転換が進む。,,,村上団地商店街の訪問・聞き取り記録,https://www.danchijournal.net/post/murakami1shoppingstreet,,,,
埼玉県,北本市,北本団地商店街,現存する団地商店街,北本団地のドーム型アーケード。空き店舗が目立つ時期を経ながら、ジャズ喫茶など新しい使われ方が加わっている。狙い目はアーケードと旧店舗区画。,,,北本団地商店街を歩く（写真訪問記）,https://junkissa.jp/blog-entry-2382.html,,,,
東京都,江東区,大島四丁目団地ショッピングモール,現存する団地商店街,1969年に誕生した大規模団地の店舗区画。ふれあいショッピングセンターやスーパーなど、団地内の生活機能が続いている。,https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1780_report.html,,,,,,,
福岡県,福岡市早良区,室住団地商店街,現存する団地商店街,室住団地3号棟1階の13区画。歯科、青果、美容、飲食などが残り、配置図と店舗の聞き取り記録が確認できる。,https://www.ur-net.go.jp/chintai/kyushu/fukuoka/90_0700_report.html,,室住団地商店街訪問（配置図・店舗記録）,https://www.ur-net.go.jp/chintai_portal/kyojyusha/kanrihou/lrmhph000000hga9-att/Aozora_202206.pdf,,,,
福岡県,宗像市,日の里一丁目団地商店街,現存する団地商店街,日の里団地の店舗区画。駄菓子バーなど、子どもと大人の交流を担う新しい店舗が入っている。,,,日の里一丁目団地の駄菓子バー訪問記,https://www.ur-net.go.jp/chintai/college/202504/001276.html,,,,
北海道,北広島市,北広島さんぽまち商店会（旧北広島団地商店街）,現存する団地商店街,1972年から造成された北広島団地内で1977年に発足。2018年にさんぽまち商店会へ改称後も、団地内の店舗・企業による活動が続く。,https://sanpomachi.jp/,,,,,,,
神奈川県,相模原市南区,相武台団地商店街,現存する団地商店街,1967年開設の団地商店街。高齢化と大型店進出で空き店舗が増えた後、グリーンラウンジ・プロジェクトによる交流施設や新店舗の導入が進む。,,,相武台団地商店街を巡る訪問記,https://www.kousha-chintai.com/blog/landscape/soubudai-shopping-street-2025.php,,,,
宮城県,仙台市泉区,黒松団地商店街（黒松商工振興会）,現存する団地商店街,昭和30年代から続く黒松団地の商業区域。生協、飲食店、理美容などが現在も営業し、商工振興会の沿革と個人訪問記から店舗の変化を追える。,https://kuromatsu.net/,,黒松商工振興会の沿革,https://kuromatsu.net/history/,,,,
東京都,国立市,富士見台名店街（むっさ21）,現存する団地商店街,1965年完成の富士見台第一団地1階に広がる名店街。パン店や酒屋などの営業、ストリートピアノ、学生・地域連携の再生活動が確認できる。狙い目は団地広場に面したアーケード、外向き店舗、看板と店舗配置。,,,富士見台名店街「むっさ21」訪問記,https://ameblo.jp/kobaden-shoutengai/entry-12844379837.html,谷保のむっさ21・ダイヤ街訪問記,https://tokyovirtualwalk.com/archives/1819,団地商店街むっさ21の酒屋訪問記,https://kunitachijin.com/article/yabo_night_12/
