都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
北海道,滝川市,滝川市郷土館,地域文化施設,屯田兵の入植から発展した滝川の開拓生活を、屯田兵屋・再現された大正期の商店・農具や生活用品で伝える。,https://www.city.takikawa.lg.jp/site/museum/2836.html,,滝川市郷土館分館（屯田兵屋）の訪問記,https://okui-m.hatenablog.com/entry/b1e01443af00b74ea220aa0462213993,,,,
北海道,様似町,様似郷土館,地域文化施設,日高の海岸と山間で営まれたアイヌ文化、漁業・農業の暮らし、縄文から近代までの様似の歴史を考古資料と民俗資料で残す。,https://www.hidaka.pref.hokkaido.lg.jp/hk/kks/ainuculture/samani/single_ainu_samani_samanikyoudokan.html,,様似会所跡・等澍院跡などの訪問記,https://0743sh0927sh.seesaa.net/article/502356080.html,,,,
青森県,八戸市,八戸市南郷歴史民俗資料館,地域文化施設,旧南郷村の農山村生活と昭和の地域文化を、農具・衣食住の道具や移築民家で具体的に伝える。,https://nango-hf.jp/,,南郷歴史民俗資料館の訪問記,https://ameblo.jp/riot-in-clayamy/entry-12873901339.html,,,,
岩手県,遠野市,遠野市立博物館,地域文化施設,遠野の山里で育まれた信仰・年中行事・農家の暮らしを『遠野物語』と実物資料、映像で伝える。,https://www.city.tono.iwate.jp/index.cfm/48%2C25002%2C166%2Chtml,,遠野市立博物館の訪問記,https://ameblo.jp/cccgoa/entry-12719662380.html,,,,
秋田県,男鹿市,男鹿真山伝承館,地域文化施設,男鹿の農家の建築を使い、ナマハゲをはじめとする男鹿の信仰・年中行事と、半島の暮らしを実演と資料で継承する。,https://www.city.oga.akita.jp/soshik/bunkasportska/bunkazai/4/1444.html,,男鹿真山伝承館でナマハゲ行事を体験した訪問記,https://story.nakagawa-masashichi.jp/83520,,,,
福島県,下郷町,大内宿町並み展示館,地域文化施設,会津西街道の宿場として栄えた大内宿の本陣を復元し、街道交通と茅葺き民家で続く住民の生活文化を示す。,https://shimogo.or.jp/?page_id=840,,大内宿町並み展示館の冬の訪問記,http://blog.livedoor.jp/teyght_2/archives/66379968.html,,,,
栃木県,日光市,足尾銅山観光,地域文化施設,足尾銅山の採鉱・製錬が谷間の町を形づくった歴史を、実際の坑道と鉱山資料で伝える。,https://www.city.nikko.lg.jp/kanko_bunka_sports/activity/1/4/6164.html,,足尾銅山観光の撮影訪問記,https://ameblo.jp/protgear-blog/entry-12795655709.html,,,,
群馬県,富岡市,富岡製糸場,地域文化施設,明治政府の器械製糸工場として富岡の地域産業と日本の養蚕・製糸を変えた建物群を保存する。,https://www.tomioka-silk.jp/_tomioka-silk-mill/,,富岡製糸場の工場見学記,https://www.kipc.or.jp/blog/tomioka/,,,,
千葉県,船橋市,船橋市郷土資料館,地域文化施設,東京湾岸の漁村から近郊都市へ変わった船橋の考古・民俗・産業の資料を収集し、海苔漁や農家の暮らしを地域史として示す。,https://www.city.funabashi.lg.jp/shisetsu/bunka/0001/0005/0001/p011081.html,,船橋市郷土資料館の訪問記（食文化展）,https://ameblo.jp/eveningshower/entry-12860048087.html,,,,
東京都,小金井市,江戸東京たてもの園,地域文化施設,東京の郊外・下町・商業地で使われた建物を移築保存し、都市の住まいと仕事の場を実物空間で継承する。,https://www.tatemonoen.jp/,,江戸東京たてもの園の写真訪問記,https://www.camera-girls.net/magazine/photospot/tatemonoen/,,,,
