都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
神奈川県,横浜市中区,横浜赤レンガ倉庫,旧倉庫→商業・文化施設,明治末期から大正期に建てられた横浜税関の保税倉庫。1989年に倉庫用途を終え、2002年から商業・文化施設として利用。煉瓦造の倉庫構造を公開。,https://www.yokohama-akarenga.jp/,,,,,,,
京都府,舞鶴市,舞鶴赤れんがパーク,旧軍需倉庫→文化施設,旧舞鶴海軍の兵器庫・倉庫群を保存活用した公園。赤れんが博物館やイベント施設として現在も利用され、倉庫の煉瓦架構が残る。,https://akarenga-park.com/,,,,,,,
福井県,敦賀市,敦賀赤レンガ倉庫,旧石油倉庫→商業・文化施設,1905年築の旧敦賀港石油倉庫を改修。現在はジオラマ館とレストランを備えた観光・文化施設として利用。,https://tsuruga-akarenga.jp/,,,,,,,
福岡県,北九州市門司区,門司赤煉瓦プレイス,旧ビール工場→商業・文化施設,1912年建設の帝国麦酒門司工場を前身とする建物群。2000年までビール工場として稼働し、現在は飲食店・ギャラリー・イベント施設。,https://mojirenga.jp/,,,,,,,
東京都,墨田区,KAIKA 東京 by THE SHARE HOTELS,旧玩具倉庫→アートストレージホテル,玩具メーカーの倉庫を改修し、アート作品の保管庫とホテルを併設する施設へ転用。倉庫の躯体と保管ラックを活用。,https://www.thesharehotels.com/kaika/,,,,,,,
東京都,墨田区,両国 江戸NOREN,旧駅舎→飲食・観光施設,旧両国駅駅舎の外観・構造を生かした商業施設。現在は飲食店街と観光案内機能として利用され、駅舎の大屋根と広間を残す。,https://www.jrtk.jp/edonoren/,,,,,,,
岡山県,岡山市北区,ルネスホール,旧日本銀行岡山支店→文化施設,1922年竣工の旧日本銀行岡山支店。2005年から音楽・演劇の多目的ホールとして利用され、金庫棟や銀行時代の空間を保存。,https://renaiss.or.jp/,,,,,,,
長野県,松本市,アルモニービアン,旧銀行→レストラン・結婚式場,1937年竣工の旧第一勧業銀行松本支店をレストラン・婚礼施設へ転用。銀行の金庫扉と吹き抜けを現用空間に残す。,https://arumoni-bian.owst.jp/,,,,,,,
愛知県,新城市,大野宿 鳳来館,旧銀行→ギャラリー・カフェ,1925年築の旧大野銀行本店。後に銀行支店・信用金庫として使われ、現在はギャラリーカフェ。旧銀行の文書庫を展示空間として活用。,https://www.8uehiro.co.jp/houraikan/,,,,,,,
熊本県,熊本市中央区,ピーエス熊本センター（旧第一銀行熊本支店）,旧銀行→文化施設,旧第一銀行熊本支店の建物を保存活用した文化施設。銀行建築の外観と内部空間を残し、現在はイベント・交流の場として利用。,https://www.city.kumamoto.jp/kiji00363793/index.html,,,,,,,
